setup,direction,ticker,cluster_leftmost,cluster_rightmost,cluster_size,is_winner,rightmost_date,rightmost_close,adr14,bar_f1_max,bar_f2_min,had_earnings,race_bars,max_fav_adr,max_adv_adr,bars_to_fav,bars_to_adv,rule_pass,t1,t2
dtss,short,WKHS,228,229,2,0,2020-11-27,81540.0,7006.5,,62.6875,0,60,6.285591950331835,6.756583172768142,58,46,0,56.875,76.69375000000002
dtss,short,PTGX,230,230,1,0,2020-11-30,24.16,1.6044571428571426,,74.375,0,60,3.3282285063038684,1.919652396894365,25,52,0,56.875,76.69375000000002
dtss,short,QLD,231,231,1,0,2020-12-01,26.6369,0.6334471692758574,,38.125,0,60,1.5759330619787086,9.814420233587423,7,51,0,56.875,76.69375000000002
dtss,short,PCTY,232,232,1,0,2020-12-02,194.77,6.636714285714289,,80.5625,1,42,2.1652280603568888,3.551832877714873,37,17,0,56.875,76.69375000000002
dtss,short,VICR,233,233,1,0,2020-12-03,82.69,2.383335714285715,,71.375,1,57,0.15104880015104852,9.226564209226567,6,49,0,56.875,76.69375000000002
dtss,short,VICR,242,242,1,0,2020-12-16,91.94,2.8067857142857133,,71.375,1,48,2.4405140603130158,4.538999872757353,30,40,0,56.875,76.69375000000002
dtss,short,VICR,281,281,1,0,2021-02-12,102.96,3.653914285714284,,54.8125,1,9,3.9902413849726726,0.47072806461955075,6,1,0,56.875,76.69375000000002
dtss,short,ELF,234,234,1,0,2020-12-04,22.36,0.6414285714285717,,77.6875,1,39,2.120267260579063,5.971046770601337,9,18,0,56.875,76.69375000000002
dtss,short,ELF,297,297,1,0,2021-03-09,26.33,1.100728571428571,,87.625,1,54,0.9720834252637837,4.506106345148021,12,32,0,56.875,76.69375000000002
dtss,short,ELF,461,461,1,0,2021-10-29,32.31,0.7638571428571428,,74.5625,1,2,0.2618290630259996,1.0865906115578807,2,2,0,56.875,76.69375000000002
dtss,short,ELF,1126,1126,1,0,2024-06-25,208.76,9.462542857142859,,69.4375,1,30,5.995777335599913,1.1635350207887358,28,12,0,56.875,76.69375000000002
dtss,short,ELF,1128,1128,1,0,2024-06-27,218.0,10.373814285714285,,69.4375,1,28,6.359791893600233,0.17062190928533066,26,10,0,56.875,76.69375000000002
dtss,short,UNIT,234,235,2,0,2020-12-07,13.3194,0.599232263955957,,87.9375,1,55,0.9767533708564947,4.579314272252467,1,44,0,56.875,76.69375000000002
